District,Revenue,Population,Consumption_Level
District 1,550,142000,High
District 3,480,190000,High
District 5,420,159000,High
District 10,390,234000,Medium
Phu Nhuan,410,163000,High
District 7,510,360000,High
District 4,290,175000,Medium
District 11,310,209000,Medium
Tan Binh,380,474000,Medium
Binh Thanh,450,499000,High
District 6,280,253000,Medium
District 8,260,423000,Medium
Go Vap,330,676000,Low
Tan Phu,315,485000,Medium
District 12,190,620000,Low
Binh Tan,210,784000,Low
Hoc Mon,150,542000,Low
Nha Be,175,206000,Low
Cu Chi,120,462000,Low
Thu Duc City,490,1200000,Medium
